customer_id,age,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,num_services,customer_service_calls,late_payments,data_usage_gb,contract_value,satisfaction_score,region,churn
CUST_000001,41,38,53.61,2037.18,One Year,Mailed Check,No,No internet service,No internet service,No internet service,No internet service,0,5,0,0.0,643.32,4.0,East,0
CUST_000002,53,15,96.28,1444.2,Two Year,Electronic Check,Fiber Optic,No,No,No,No,0,1,1,9.9,2310.72,3.0,East,0
CUST_000003,39,40,21.14,845.6,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,No,No,1,2,1,48.5,126.84,4.0,East,0
CUST_000004,63,31,70.37,2181.47,One Year,Electronic Check,DSL,No,No,No,Yes,1,1,1,52.0,844.44,2.0,North,1
CUST_000005,60,41,46.98,1926.18,Month-to-Month,Electronic Check,DSL,No,No,Yes,No,1,2,1,120.1,281.88,5.0,North,0
CUST_000006,34,36,49.34,1776.24,Two Year,Electronic Check,Fiber Optic,No,No,Yes,Yes,2,2,1,20.6,1184.16,3.0,South,0
CUST_000007,24,8,36.71,293.68,Two Year,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,0,2,0.0,881.04,5.0,West,0
CUST_000008,68,20,67.51,,Month-to-Month,Bank Transfer,DSL,Yes,Yes,No,No,2,3,0,74.8,405.06,4.0,East,1
CUST_000009,21,26,20.0,520.0,Month-to-Month,Mailed Check,DSL,Yes,Yes,No,No,2,5,1,25.2,120.0,3.0,North,0
CUST_000010,55,11,60.22,662.42 ,Month-to-Month,Mailed Check,DSL,Yes,No,Yes,No,2,1,0,16.1,361.32,3.0,North,0
CUST_000011,28,14,65.72,920.08,Two Year,Bank Transfer,DSL,Yes,No,No,No,1,1,0,24.4,1577.28,1.0,East,0
CUST_000012,70,39,54.66,2131.74,Two Year,Credit Card,No,No internet service,No internet service,No internet service,No internet service,0,0,0,0.0,1311.84,4.0,East,0
CUST_000013,18,29,60.01,1740.29 ,Month-to-Month,Credit Card,Fiber Optic,No,Yes,Yes,No,2,4,1,75.6,360.06,2.0,East,1
CUST_000014,47,8,63.76,510.08,Month-to-Month,Electronic Check,DSL,No,No,Yes,Yes,2,0,0,114.2,382.56,2.0,East,0
CUST_000015,22,22,62.71,1379.62,Month-to-Month,Bank Transfer,No,No internet service,No internet service,No internet service,No internet service,0,1,2,0.0,376.26,1.0,South,0
CUST_000016,59,30,88.15,2644.5,One Year,Electronic Check,Fiber Optic,No,No,Yes,No,1,2,0,41.8,1057.8,2.0,South,0
